restaurant,product_name,price_toman,collected_at
Shila,پیتزا مخلوط پلاس 30 سانتی,1017000,2026-05-25
Shila,پیتزا مرغ 30 سانتی متری,798000,2026-05-25
Shila,پیتزا دونر استیک 30 سانتی متری,958000,2026-05-25
Shila,پیتزا اسپینا چیکن 30 سانتی متری,818000,2026-05-25
Shila,پیتزا پپرونی 30 سانتی متری,829000,2026-05-25
Shila,پیتزا رست بیف 30 سانتی متری,968000,2026-05-25
Shila,پیتزا گوشت و قارچ 30 سانتی متری,918000,2026-05-25
Shila,پیتزا مخلوط 30 سانتی متری,768000,2026-05-25
Shila,پیتزا سبزیجات 30 سانتی متری,678000,2026-05-25
Shila,پیتزا کویین 30 سانتی متری,999000,2026-05-25
Shila,پیتزا هات چیکن 30 سانتی متری,818000,2026-05-25
Shila,پیتزا اسپشیال 30 سانتی متری,918000,2026-05-25
Meykhosh,پیتزا مخصوص,1162000,2026-05-25
Meykhosh,پیتزا مخلوط,1060000,2026-05-25
Meykhosh,پیتزا یونانی,1162000,2026-05-25
Meykhosh,پیتزا گوشت و قارچ,1257000,2026-05-25
Meykhosh,پیتزا گوشت و پیاز,1275000,2026-05-25
Meykhosh,پیتزا رست بیف,1486000,2026-05-25
Meykhosh,پیتزا میکس,1249000,2026-05-25
Meykhosh,پیتزا مرغ  و قارچ,1043000,2026-05-25
Meykhosh,پیتزا کالزونه,1060000,2026-05-25
Meykhosh,پیتزا سوسیس,919000,2026-05-25
Meykhosh,پیتزا سوسیس و قارچ,957000,2026-05-25
Meykhosh,پیتزا پپرونی,1010000,2026-05-25
Meykhosh,پیتزا مکزیکی,1073000,2026-05-25
Meykhosh,پیتزا قارچ,819000,2026-05-25
Meykhosh,پیتزا مارگاریتا,725000,2026-05-25
Meykhosh,پیتزا سبزیجات,883000,2026-05-25
Meykhosh,پیتزا مدیترانه,892000,2026-05-25
Meykhosh,پیتزا سیر و استیک,1538000,2026-05-25
Meykhosh,پیتزا سالامی,953000,2026-05-25
Meykhosh,پیتزا میکس (مرغ دودی),1240000,2026-05-25
Meykhosh,پیتزا مرغ دودی و قارچ,1041000,2026-05-25
Meykhosh,پیتزا بوقلمون و قارچ,978000,2026-05-25
Meykhosh,پیتزا سیر و بیکن,1583000,2026-05-25
Perperook,پیتزا پنجره ای,1040000.0,2026-05-25
Perperook,پیتزا ژامبون استیک با فلفل,1225000.0,2026-05-25
Perperook,پیتزا ژامبون استیک,1205000.0,2026-05-25
Perperook,پیتزا مرغ تنوری,1265000.0,2026-05-25
Perperook,پیتزا پپرونی,1030000.0,2026-05-25
Perperook,پیتزا گوشت و قارچ,1175000.0,2026-05-25
Perperook,پیتزا گوشت و پیاز,1110000.0,2026-05-25
Perperook,پیتزا برتولی ,1150000.0,2026-05-25
Perperook,پیتزا سبزیجات,725000.0,2026-05-25
Perperook,پیتزا آروستو,1155000.0,2026-05-25
Perperook,پیتزا قارچ,815000.0,2026-05-25
Perperook,پیتزا مارگاریتا,740000.0,2026-05-25
Perperook,پیتزا پنیر مخصوص پرپروک,835000.0,2026-05-25
Perperook,پیتزا آروستوپینو,1175000.0,2026-05-25
Perperook,پیتزا کارزانا,1270000.0,2026-05-25
Perperook,پیتزا تندوری,1110000.0,2026-05-25
Chickenfamily,پیتزا سیر و استیک مرغ,798000.0,2026-05-25
Chickenfamily,پیتزا سبزیجات,568000.0,2026-05-25
Chickenfamily,پیتزا سیر و استیک گوشت,1098000.0,2026-05-25
Chickenfamily,پیتزا گوشت و قارچ,858000.0,2026-05-25
Chickenfamily,پیتزا رست بیف,988000.0,2026-05-25
Chickenfamily,پیتزا دونر گوشت,868000.0,2026-05-25
Chickenfamily,پیتزا میکس,698000.0,2026-05-25
Chickenfamily,پیتزا چیکن لاورز,758000.0,2026-05-25
Chickenfamily,پیتزا پپرونی,778000.0,2026-05-25
Sib360,پیتزا پپرونی ایتالیایی 32 سانتی متری,937000,2026-05-25
Sib360,پیتزا پپرونی ایتالیایی 24 سانتی متری,657000,2026-05-25
Sib360,پیتزا چهارفصل ایتالیایی 32 سانتی متری,907000,2026-05-25
Sib360,پیتزا چیکن کریسپی ایتالیایی 32 سانتی متری,947000,2026-05-25
Sib360,پیتزا چیکن کریسپی ایتالیایی 24 سانتی متری,637000,2026-05-25
Sib360,پیتزا چیکن پستو ایتالیایی 32 سانتی متری,947000,2026-05-25
Sib360,پیتزا چیکن پستو ایتالیایی 24 سانتی متری,637000,2026-05-25
Sib360,پیتزا چیکن گورمه ایتالیایی 32 سانتی متری,847000,2026-05-25
Sib360,پیتزا چیکن گورمه ایتالیایی 24 سانتی متری,627000,2026-05-25
Sib360,پیتزا بیف گورمه ایتالیایی 32 سانتی متری,1037000,2026-05-25
Sib360,پیتزا بیف گورمه ایتالیایی 24 سانتی متری,797000,2026-05-25
Sib360,پیتزا سوپریم ایتالیایی 32 سانتی متری,877000,2026-05-25
Sib360,پیتزا سوپریم ایتالیایی 24 سانتی متری,647000,2026-05-25
Sib360,پیتزا بیکن ایتالیایی 32 سانتی متری,1047000,2026-05-25
Sib360,پیتزا بیکن ایتالیایی 24 سانتی متری,787000,2026-05-25
Sib360,پیتزا چیکن آلفردو ایتالیایی 32 سانتی متری,977000,2026-05-25
Sib360,پیتزا چیکن آلفردو ایتالیایی 24 سانتی متری,677000,2026-05-25
Sib360,پیتزا کاپریچیوزا ایتالیایی 32 سانتی متری,887000,2026-05-25
Sib360,پیتزا سبزیجات ایتالیایی 32 سانتی متری,727000,2026-05-25
Sib360,پیتزا سبزیجات ایتالیایی 24 سانتی متری,517000,2026-05-25
Sib360,پیتزا مارگاریتا ایتالیایی 32 سانتی متری,637000,2026-05-25
Sib360,پیتزا مارگاریتا ایتالیایی 24 سانتی متری,497000,2026-05-25
Sib360,پیتزا چانو ایتالیایی 32 سانتی متری,1037000,2026-05-25
Baguette,پیتزا مارگاریتا,464000,2026-05-25
Baguette,پیتزا پپرونی,759000,2026-05-25
Baguette,پیتزا مرغ دودی,776000,2026-05-25
Baguette,پیتزا سیر و استیک,1151000,2026-05-25
Atawich,پیتزا رست بیف پنجره ای بزرگ,1480000,2026-05-25
Atawich,پیتزا مخصوص پنجره ای بزرگ,1297000,2026-05-25
Atawich,پیتزا دونر استیک پنجره ای بزرگ,1199000,2026-05-25
Atawich,پیتزا پپرونی پنجره ای بزرگ,1139000,2026-05-25
Atawich,پیتزا گوشت و قارچ پنجره ای بزرگ,1360000,2026-05-25
Atawich,پیتزا چیکن آلفردو پنجره ای بزرگ,1159000,2026-05-25
